trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
112,False,"{'a': 0.3244455298634257, 'e': 0.3244455298634257}",25,0,-37.98267639817056,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",1
113,False,"{'a': 0.3212010745647914, 'e': 0.3212010745647914}",25,16,14.126245507952962,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.3179890638191435, 'e': 0.3179890638191435}",20,8,-60.48463701018386,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
115,False,"{'a': 0.31480917318095203, 'e': 0.31480917318095203}",30,15,-27.7277683387994,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.3116610814491425, 'e': 0.3116610814491425}",20,13,-28.975969647544318,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
117,False,"{'a': 0.30854447063465107, 'e': 0.30854447063465107}",20,0,-31.582183630254356,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
118,False,"{'a': 0.3054590259283046, 'e': 0.3054590259283046}",20,6,15.501595672071748,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.30240443566902153, 'e': 0.30240443566902153}",25,2,-2.96559436078051,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
120,False,"{'a': 0.2993803913123313, 'e': 0.2993803913123313}",20,9,-6.15321731589526,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.296386587399208, 'e': 0.296386587399208}",20,0,-11.525696218975868,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
122,False,"{'a': 0.2934227215252159, 'e': 0.2934227215252159}",30,0,-34.57256016469114,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
123,False,"{'a': 0.29048849430996376, 'e': 0.29048849430996376}",20,12,-39.86276810187603,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
124,False,"{'a': 0.2875836093668641, 'e': 0.2875836093668641}",20,3,-49.25526539206692,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
125,False,"{'a': 0.28470777327319546, 'e': 0.28470777327319546}",20,2,28.444711417130108,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.2818606955404635, 'e': 0.2818606955404635}",25,0,-39.52317929659622,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
127,False,"{'a': 0.27904208858505886, 'e': 0.27904208858505886}",30,9,27.463442243361765,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.2762516676992083, 'e': 0.2762516676992083}",20,0,-100.04128190393018,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
129,False,"{'a': 0.2734891510222162, 'e': 0.2734891510222162}",20,3,5.566923522261058,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
